,MEMBER_NO,clusters
547,55420,2.0
548,61982,2.0
549,20557,2.0
550,8692,2.0
551,37007,2.0
552,557,2.0
553,53184,2.0
554,23126,2.0
555,4672,2.0
556,50244,2.0
557,12524,2.0
558,9569,2.0
559,38541,2.0
560,45995,2.0
561,8525,2.0
562,9611,2.0
563,54785,2.0
564,5903,2.0
565,15475,2.0
566,18844,2.0
567,5167,5.0
568,19179,2.0
569,15802,2.0
570,40135,5.0
571,42700,5.0
572,34525,5.0
573,57559,2.0
574,16715,2.0
575,40365,2.0
576,43846,2.0
577,54645,2.0
578,56118,2.0
579,45566,2.0
580,38361,2.0
581,156,2.0
582,29824,2.0
583,2149,2.0
584,8678,2.0
585,53581,2.0
586,30326,2.0
587,43637,2.0
588,55499,2.0
589,49298,5.0
590,42157,2.0
591,10283,5.0
592,19508,2.0
593,55130,5.0
594,29440,2.0
595,40177,2.0
596,49867,2.0
597,38621,2.0
598,40322,5.0
599,58432,2.0
600,42627,2.0
601,35314,2.0
602,57188,5.0
603,17102,2.0
604,62873,2.0
605,29484,2.0
606,29166,5.0
607,36116,2.0
608,60503,5.0
609,18790,2.0
610,11105,2.0
611,41035,2.0
612,21151,2.0
613,47964,2.0
614,46252,2.0
615,39255,5.0
616,44810,2.0
617,47782,2.0
618,39078,2.0
619,11878,2.0
620,23577,2.0
621,19053,2.0
622,51497,2.0
623,2155,3.0
624,20561,2.0
625,59249,2.0
626,31448,2.0
627,62033,5.0
628,57741,2.0
629,38207,2.0
630,37124,2.0
631,31799,2.0
632,31240,5.0
633,2018,2.0
634,22701,5.0
635,29347,5.0
636,1035,2.0
637,4331,2.0
638,33530,2.0
639,55364,5.0
640,47792,5.0
641,52714,5.0
642,26509,3.0
643,44606,2.0
644,3570,5.0
645,9520,3.0
646,1101,5.0
647,62795,5.0
648,1282,2.0
649,56170,2.0
650,6022,2.0
651,30310,2.0
652,9733,2.0
653,46272,2.0
654,6480,2.0
655,57857,2.0
656,15633,2.0
657,47933,2.0
658,23070,2.0
659,62373,2.0
660,24551,2.0
661,35715,2.0
662,15383,2.0
663,12319,2.0
664,54390,2.0
665,57582,2.0
666,40819,2.0
667,36972,2.0
668,46348,2.0
669,26844,2.0
670,24762,5.0
671,707,4.0
672,11032,2.0
673,40022,2.0
674,61843,2.0
675,45980,2.0
676,8346,2.0
677,47214,2.0
678,22310,2.0
679,35904,2.0
680,30242,5.0
681,51864,2.0
682,11681,2.0
683,46215,2.0
684,23105,2.0
685,38006,2.0
686,3624,2.0
687,19168,2.0
688,49645,2.0
689,18792,5.0
690,42199,2.0
691,48826,2.0
692,45997,2.0
693,55246,5.0
694,9589,2.0
695,52831,2.0
696,7581,2.0
697,37156,2.0
698,49748,5.0
699,26663,2.0
700,14917,2.0
701,10971,2.0
702,30463,2.0
703,58269,2.0
704,49045,2.0
705,49564,2.0
706,53643,2.0
707,3920,2.0
708,23142,2.0
709,23352,5.0
710,4192,2.0
711,16720,2.0
712,57187,2.0
713,38771,2.0
714,55749,2.0
715,14678,5.0
716,51044,5.0
717,24277,2.0
718,30903,2.0
719,44,2.0
720,45587,5.0
721,11152,2.0
722,57717,2.0
723,45994,2.0
724,59352,2.0
725,8329,2.0
726,20194,2.0
727,38225,5.0
728,38493,2.0
729,54597,2.0
730,13946,2.0
731,693,2.0
732,33570,5.0
733,47381,2.0
734,40402,5.0
735,3553,2.0
736,4254,5.0
737,46483,2.0
738,3120,2.0
739,49051,2.0
740,60765,2.0
741,61862,5.0
742,13352,2.0
743,39682,2.0
744,46158,2.0
745,45610,2.0
746,31016,2.0
747,16656,2.0
748,35754,2.0
749,14539,2.0
750,30130,2.0
751,8614,2.0
752,10498,2.0
753,31428,2.0
754,47405,2.0
755,2893,2.0
756,58076,2.0
757,8211,5.0
758,35446,5.0
759,19873,2.0
760,1801,2.0
761,22454,2.0
762,61764,2.0
763,7646,2.0
764,1204,2.0
765,45667,2.0
766,55477,2.0
767,22402,2.0
768,59835,2.0
769,46767,5.0
770,49656,2.0
771,38026,2.0
772,24643,2.0
773,29118,5.0
774,6362,2.0
775,31026,2.0
776,100,2.0
777,22634,2.0
778,14666,2.0
779,44944,5.0
780,48044,2.0
781,18819,2.0
782,686,2.0
783,32225,2.0
784,56750,2.0
785,42189,2.0
786,54838,2.0
787,22999,2.0
788,41908,2.0
789,11015,2.0
790,28041,2.0
791,40606,2.0
792,62650,2.0
793,4311,2.0
794,10171,2.0
795,22784,5.0
796,27644,2.0
797,32881,2.0
798,37819,2.0
799,22632,2.0
800,10004,2.0
801,36016,2.0
802,37456,2.0
803,3697,2.0
804,39058,2.0
805,8485,2.0
806,44344,2.0
807,35783,2.0
808,26950,2.0
809,38980,2.0
810,47271,2.0
811,22508,2.0
812,1040,2.0
813,30713,2.0
814,19525,2.0
815,58402,2.0
816,54876,5.0
817,26567,2.0
818,3549,2.0
819,35787,5.0
820,12148,2.0
821,35299,2.0
822,3231,2.0
823,26458,2.0
824,19658,2.0
825,31527,2.0
826,44959,2.0
827,13609,2.0
828,37260,2.0
829,39235,2.0
830,50062,2.0
831,50754,2.0
832,20336,2.0
833,21048,2.0
834,28646,2.0
835,27096,2.0
836,11037,2.0
837,44988,5.0
838,3732,2.0
839,24799,2.0
840,56229,2.0
841,20552,2.0
842,12997,2.0
843,60025,2.0
844,47191,2.0
845,57185,2.0
846,45664,2.0
847,4387,5.0
848,19503,2.0
849,44441,2.0
850,812,2.0
851,58462,2.0
852,55206,2.0
853,36550,2.0
854,43463,2.0
855,19636,2.0
856,42653,2.0
857,34453,2.0
858,3799,2.0
859,29050,2.0
860,8651,2.0
